,Entity,superregion2,iso3,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total carbohydrates,Total protein,Saturated fat,Monounsaturated fatty acids,Total omega-6 fat,Seafood omega-3 fat,Plant omega-3 fat,Dietary fiber,Added sugars,Calcium,Dietary sodium,Iodine,Iron,Magnesium,Potassium,Selenium,Vitamin A w/ supplements,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Zinc,Total Milk,Year,Diabetes prevalence (% of population ages 20 to 79),Continent,ObesityRate,Population (2021),Gross National Income Per Capita (2021),Unit,Supply_ All food groups,Supply_ All food groups (excluding beverages),Supply_ Cereals and their products,"Supply_ Roots, tubers, plantains and their products","Supply_ Pulses, seeds and nuts and their products",Supply_ Milk and milk products,Supply_ Eggs and their products,"Supply_ Fish, shellfish and their products",Supply_ Meat and meat products,Supply_ Vegetables and their products,Supply_ Fruits and their products,Supply_ Fats and oils,Supply_ Sweets and sugars,Supply_ Spices and condiments,Supply_ Beverages,Supply_ Foods for particular nutritional uses,Supply_ Miscellaneous
31,Chile,LAC,CHL,108.5294078,140.1783679,19.85778378,93.10836016,12.88806144,17.89106662,254.2175865,40.20156477,54.00514631,19.75061011,16.55042234,41.74467718,13.7501974,40.61240539,301.8900342,5.382854719,0.245919324,0.638638083,61.31044879,85.62233033,10.74574355,10.57803468,3.219003229,130.2737016,787.7402505,22.30263817,15.37796086,692.8554328,2508.076735,164.054662,11.43801952,98.0333093,2144.253836,120.8171726,390.9862891,1.514154361,1.665244597,13.5909808,1.025581699,558.7018192,1.48261231,47.98396612,3.178880887,4.141997343,6.02693572,189.8100016,2021,10.8,South America,37.93,19493184,24563.24486,kcal/cap/d,3128,6098,1097,92,70,195,34,22,441,64,115,324,483,3,158,0,31
32,China,Asia,CHN,89.41220081,306.084999,19.03817619,20.7053168,15.18324197,9.369656239,395.8419111,6.788794758,4.826680739,110.8365414,37.92655841,37.54746753,1.710357002,6.97713039,9.799884033,0.488767528,0.372246741,1.129276183,59.94280107,71.7085423,10.04201717,8.821253273,2.931439962,67.97366686,2812.125288,21.40358586,0.608700268,424.7947717,4000.466597,133.4385851,12.09598564,269.3866688,3356.768618,113.0974325,509.2720388,1.144331541,1.371120246,18.65630161,1.529242452,342.3522864,3.364211867,84.72073438,4.414449648,8.763894775,12.2021147,35.29435722,2021,10.6,Asia,7.79,1425893465,17504.39969,kcal/cap/d,3564,NULL,1620,163,227,66,79,61,375,287,167,304,90,8,100,2,16
33,Cote d'Ivoire,SSA,CIV,60.69143637,92.80135538,30.67588634,30.07531564,4.550281982,9.572523403,176.0047774,36.62893217,5.558567453,13.1924273,53.10520177,5.253462055,0.570591961,10.33604069,166.453995,14.30309743,0.269552466,0.515657986,62.39981795,65.66353702,9.876873328,13.41975795,2.51493515,55.81122059,490.4234599,20.74461098,3.210664975,461.6809228,2023.164809,90.11461823,3.835256931,315.8746183,4467.583329,97.19379042,3042.096336,1.283753499,1.202554457,14.66297398,1.384142727,255.4712874,2.24896718,78.60387493,0.286935514,7.249828335,7.529669347,32.85119831,2021,2.1,Africa,11.19,0,0,kcal/cap/d,2926,5821,1098,1060,76,12,7,43,77,33,26,257,161,41,30,1,2
34,Cameroon,SSA,CMR,83.27337353,124.9778513,55.08426907,39.09432922,30.13475591,14.9427967,298.7176491,68.44260009,3.188610508,12.9290915,41.06153706,8.569741255,1.437832039,4.87749253,205.9522558,8.745723244,0.293368883,0.760239997,51.32372024,64.68386717,4.440165428,14.9658597,2.633600732,117.6012829,773.7156301,30.06331791,2.964090066,508.0932665,1374.483734,71.19063582,7.267695168,361.8560996,3130.81825,100.5007507,2301.406181,1.156000584,1.139000212,16.90198592,1.652671807,330.1691553,2.277183933,91.04127936,6.222115729,1.849950966,5.310246627,41.20169448,2021,5.5,Africa,14.5,27198628,3620.932408,kcal/cap/d,2809,5542,1169,611,284,24,6,35,72,66,83,244,121,14,75,1,3
35,Democratic Republic of Congo,SSA,COD,94.47493424,212.6183962,35.14596502,46.28731813,30.81432752,25.98587115,127.7901355,12.16528,30.4155478,11.68429075,43.66886106,1.071908456,0.474981081,6.607572383,50.97473169,13.95722023,0.284071893,0.539270343,54.81287186,29.86019621,16.39178144,15.85358985,2.639695195,266.0074006,729.03928,21.78304952,5.913809301,425.691695,2920.918753,55.30409537,9.57775129,282.7699413,2729.43443,94.17048604,2839.835004,0.872785364,1.323934929,6.379593617,1.494084608,203.2829031,1.055880829,99.1353911,1.661313793,5.226635451,4.443301633,37.30810338,2021,5.8,Africa,6.35,0,0,kcal/cap/d,2099,4186,314,1488,85,1,0,8,21,5,25,106,28,4,12,0,1
36,Congo,SSA,COG,89.74626939,141.5884037,39.63058843,40.43845969,22.61052422,9.86741432,184.2468758,71.58842285,28.60962469,22.66785053,71.38486091,0.993056516,0.724234416,28.32549543,260.2340289,22.5039751,0.203127769,0.553182326,61.09777626,81.60991369,9.544161346,14.0767317,2.552844756,132.0030797,475.4130816,26.61016382,6.162400929,476.7574344,1843.106813,56.71759123,5.490157969,277.5599114,1988.065437,95.11104577,2143.224185,0.870283074,1.034551699,25.62011445,1.677584601,196.4465809,2.561190523,80.48062534,2.280932474,8.884173025,4.846487531,45.58134436,2021,5.5,Africa,8.38,5835806,2889.283521,kcal/cap/d,2196,4319,464,843,58,13,1,42,202,12,45,300,134,0,73,3,7
37,Colombia,LAC,COL,100.5466686,96.49149449,46.16637176,97.77864404,25.75448821,45.14826235,243.7082899,29.16536848,76.94490371,98.38637196,40.41641648,31.4423268,7.422371093,28.70209817,722.8089101,55.03345952,0.031155151,0.523245146,49.74251396,45.21789833,8.826204474,12.33141945,2.690090673,115.1832423,738.3690898,17.96458275,14.1874697,491.1370816,1128.618447,166.6728107,9.200826765,128.1938775,1499.613825,107.8859399,660.2707998,0.740437123,1.080951689,10.36548716,0.939811769,186.7212225,3.1449982,71.15992363,2.876055665,4.860298534,7.085969443,52.01343384,2021,8.3,South America,23.06,51516562,14384.35666,kcal/cap/d,3092,6103,915,231,70,207,53,19,291,35,164,433,585,4,80,2,3
38,Comoros,SSA,COM,85.33812713,97.00363306,44.36508764,41.9515285,9.622529213,7.893448542,197.4754377,36.15954892,6.083188899,24.30994949,56.07393764,10.42805156,0.918736743,16.74164405,212.2897764,23.2857257,0.275078409,1.033283771,61.6418865,56.80203835,9.214293109,11.40967428,2.579728961,64.80663011,678.5780043,21.6391505,6.171159467,459.0089419,1961.561587,94.22261673,8.981251571,295.0446347,2329.15001,95.522641,1867.195508,1.065215451,1.194233265,12.7240536,1.40104856,261.8809446,2.138610219,97.54348961,0.322401801,11.34983334,7.003983897,52.88859451,2021,11.7,Africa,15.62,821625,3142.064119,kcal/cap/d,2468,4917,966,353,381,56,7,37,137,22,174,136,142,33,19,0,6
39,Cape Verde,SSA,CPV,237.2151663,194.7825895,39.85062371,28.44667175,30.96234044,15.01105409,215.9694232,63.45174711,7.086584471,21.43183344,26.41841902,18.57783139,1.378936926,13.58846677,98.25532906,15.78004459,0.43924128,0.559458845,57.77821686,74.73286879,11.42930588,12.22085874,2.714438249,159.1411493,797.3693739,58.82071387,1.87512746,620.0946769,2128.891746,128.5048723,11.62220479,303.5148634,2208.621048,95.34232441,1177.364027,1.138876551,1.293536201,16.89514986,1.681922356,236.4369082,2.511187,132.8275827,3.648863247,11.83241922,7.864188212,64.10105377,2021,2.1,Africa,15.23,587925,0,kcal/cap/d,2637,5191,1268,70,119,156,20,15,184,56,41,357,212,23,84,9,24
40,Costa Rica,LAC,CRI,130.8427716,166.3844195,27.35000209,51.23252174,28.16333131,8.581010187,234.8997455,36.85438236,46.09126673,76.12331698,73.53384047,31.75048163,13.13892654,19.22455671,220.9250805,27.07040316,0.152764815,0.713550931,55.90579418,67.26023006,10.97953367,10.46014058,2.642654085,185.0004007,800.9677038,23.88321156,13.94814985,818.8692179,2578.372536,162.8169391,6.483176408,241.5991077,2287.805579,116.8990518,1939.061735,1.225450667,1.383127872,18.65789703,1.258345968,377.3324056,3.38820847,59.75110576,3.777587573,5.281582942,8.742587662,149.1729093,2021,8.8,North America,30.71,5153957,19974.27358,kcal/cap/d,2989,5849,966,48,115,332,47,42,253,39,54,494,462,5,129,2,0
41,Cuba,LAC,CUB,130.4969131,115.1854098,12.34255811,62.87669261,26.32134249,0.339240534,225.5182357,35.17372677,40.87556589,146.4248835,9.969002608,35.11274476,12.11360445,17.32923804,348.4461254,28.07937801,0.14866859,0.547682216,58.38374226,79.5453546,6.66853271,14.14471709,2.596824769,40.80549885,521.6645341,7.010947878,15.8379056,887.3683348,2387.121323,167.7593828,6.886296938,246.1753434,3365.904481,108.3208803,1369.73849,1.394627722,1.429481198,15.11960741,1.276335901,527.384056,3.400098864,82.59680039,2.862053374,7.258940901,8.933761113,141.9394802,2021,7.6,North America,21.16,11256372,7878.847482,kcal/cap/d,3417,6676,1224,291,324,112,27,11,233,82,81,357,513,1,158,0,3
42,Cyprus,HIC,CYP,59.3767124,118.49685,100.1310475,11.52761355,30.89008081,4.484454027,92.05862553,112.8234758,9.758993463,71.68752434,22.58282478,15.36071602,36.46075159,45.35760462,113.890459,43.54960457,1.175046998,0.8690084,47.7210505,75.86265175,12.20337721,13.69053992,2.752247787,317.8046597,1797.228476,11.7174194,7.941681915,723.6360978,2569.222509,170.7292132,16.27371149,246.5637697,2200.472189,88.38797718,703.3153013,1.098721077,1.571174404,21.24162106,1.57721833,192.0260476,4.545612015,71.53478002,2.680416837,11.72992483,6.791787041,81.89684792,2021,8.6,Europe,22.76,1244188,38188.42152,kcal/cap/d,3044,5913,984,41,97,361,27,40,312,60,95,439,348,6,174,9,50
43,Czechia,FSU,CZE,74.11211465,105.5921977,67.8920209,40.26374566,12.50630107,3.04332296,16.96466711,35.43471484,41.71429918,64.91842835,23.30400322,25.23800683,21.92535905,101.3091104,53.92361158,22.03213589,0.355114743,0.578527826,46.31270936,51.56926482,14.07571908,11.74087426,2.628938108,683.9329309,824.3798354,17.56363863,7.639727327,595.077745,2932.346302,108.3671302,16.83805326,203.7088317,2407.009244,25.02493644,1187.395741,1.121988577,1.453590133,17.38068487,1.527355073,215.8966763,3.973920412,82.24684133,4.449789463,9.491261843,7.509981032,94.17885552,2021,7.1,Europe,25.51,0,38745.21386,kcal/cap/d,3404,6475,666,109,68,325,37,19,345,60,104,880,434,4,332,4,16
44,Germany,HIC,DEU,140.8127595,193.2223505,67.61514382,27.08406717,5.25373944,3.166373479,224.1597856,75.47350617,61.9345545,47.65500944,17.82775261,23.46249788,24.23078954,45.50750157,101.9109394,35.07413663,0.994649769,0.601057819,46.10437998,91.04338784,15.01800859,12.58376606,2.653333354,206.3133012,1328.078187,25.12313623,8.678562191,1000.109884,2429.966539,105.5179002,8.479143085,291.6053884,2918.0087,93.50060587,1042.770166,1.107688294,1.769352522,21.20908094,1.431365717,151.485936,4.744887623,91.83617275,1.722922079,9.019417714,8.940349359,170.9068508,2021,6.9,Europe,20.38,83408554,54534.21682,kcal/cap/d,3634,7029,734,111,111,493,51,27,327,76,126,856,475,8,239,0,0
45,Djibouti,SSA,DJI,146.1900414,106.3574022,584.9289908,25.34271367,198.9090624,0.082865271,233.9794537,79.69563758,22.53148263,21.99283382,35.09706365,29.82767385,1.496834346,10.93100385,594.2854215,22.26367078,0.328426272,1.377653181,59.26838,86.19656286,10.26173396,11.12895669,2.620704005,24.39280821,437.8585637,43.13360306,21.48301233,391.4478566,1750.245044,104.6996179,6.677847073,260.8972616,1274.401499,90.11974266,1876.559837,1.062770801,1.108114738,19.56776671,1.763539745,214.2039168,2.506357244,103.8713004,2.447246516,11.45188609,7.145999633,48.94970604,2021,7.4,Africa,10.82,1105557,5024.993944,kcal/cap/d,2814,5603,1352,48,176,139,5,8,76,63,57,385,397,22,25,5,54
46,Dominica,LAC,DMA,106.2379459,103.0577987,53.24860873,58.93008948,30.53737564,4.445703143,185.2453176,30.25278158,12.40504653,23.80533392,17.42765142,16.56456648,11.06012082,18.76596501,191.1765748,20.64680695,0.029376941,1.047247087,57.74469063,58.98999256,10.90492173,12.70969427,2.502453504,80.96332765,536.3331026,15.76260092,10.76308754,837.1334847,2452.571802,117.8270631,8.047569436,246.8380287,3422.616319,113.3230873,1397.162475,1.298710602,1.362228946,14.10662896,1.222592982,368.2312089,3.341783805,97.88122856,3.343403086,14.51737509,5.815933317,134.63551,2021,11.7,North America,30.63,72412,11487.62422,kcal/cap/d,2983,5687,443,402,107,216,10,52,374,65,352,159,475,15,280,1,32
47,Denmark,HIC,DNK,90.1526175,121.0105415,45.45885334,23.95015092,23.15542675,8.198443298,16.32136768,44.70693864,36.05428953,53.78862701,36.28784604,14.80044092,28.46636803,61.21118302,69.93700425,42.56533209,0.569671123,0.890738051,47.57778483,86.69007804,13.81797325,14.40758847,2.582295622,314.2901615,979.87577,22.74153273,17.63436453,1006.880232,2715.647817,195.4639178,12.24698018,335.5917337,3380.727946,84.84432105,786.5960021,1.258308285,1.981854814,20.1312691,1.660805516,278.1252805,4.671175895,97.63154366,4.160528206,8.975885334,14.8401596,187.4174081,2021,5.3,Europe,13.17,5854240,60364.78595,kcal/cap/d,3586,6878,718,121,95,557,59,53,312,79,95,624,569,13,294,0,NULL
48,Dominican Republic,LAC,DOM,142.833555,103.544792,44.90992595,57.30478415,45.55560413,1.363752441,290.1485518,16.52036789,36.39342255,49.72806968,15.86049859,19.93803766,8.497603578,5.529896656,258.662257,54.0264018,0.159424894,0.521749665,55.87273567,69.67644159,10.93637643,10.47508075,2.717871398,142.1958736,859.212208,18.36289847,9.000000935,736.1197696,2340.738067,146.7717864,4.80480241,256.2874705,2145.350029,110.9410821,2438.126064,1.139807569,1.2578931,21.2074612,1.40395364,394.4492114,3.401364926,119.4335186,3.031885717,4.244122983,6.107855258,101.4967642,2021,10.5,North America,28.59,11117873,17989.60037,kcal/cap/d,3107,6125,796,269,169,191,49,15,231,42,402,421,416,3,89,12,0
49,Algeria,MENA,DZA,79.52962848,195.1269176,98.67543609,42.15303298,18.96904989,5.595806132,429.5534706,26.65430424,9.678610718,38.71746523,23.99484229,34.14004259,24.34716069,47.22427567,228.6002877,22.6832442,0.353347977,0.855964488,56.32390083,68.19598251,12.99743639,16.38246174,2.591179996,18.10187702,848.5024914,24.60004691,11.13726947,758.2584632,3102.611418,135.0435897,11.99525894,262.7033786,2350.313821,154.7941863,619.8078522,1.015242078,1.362386897,22.96663712,1.775058728,279.2023564,3.460135215,127.7793515,1.911786175,6.155838915,5.493634284,150.894484,2021,7.1,Africa,23.3,44177969,10800.22546,kcal/cap/d,3497,6981,1615,109,79,254,22,8,96,136,271,580,299,6,12,3,5
50,Ecuador,LAC,ECU,25.99449715,108.5703116,38.10846861,28.24785123,15.28566185,2.741515935,194.1279077,30.65994761,4.106584596,52.69423624,19.24704353,17.25598957,4.538275163,21.54969945,489.0309463,59.16050222,0.206776942,0.536699501,62.2069705,24.84685603,13.36734287,8.717568979,2.637936451,98.89841825,788.4679849,20.47157652,11.67523699,809.9725796,2506.990926,138.1423809,4.943478511,203.2744035,1819.116461,107.949155,379.3761464,1.154258556,1.400871497,19.90665379,1.407673177,255.5939062,3.315862848,86.13411467,3.157011549,4.621473703,4.986805519,74.94760941,2021,4.4,South America,26.57,17797737,10311.63273,kcal/cap/d,2584,5057,1094,105,49,167,27,11,236,17,39,510,209,3,111,3,4
51,Egypt,MENA,EGY,88.42144575,147.6646195,106.41944,28.47955608,8.883157836,2.006757852,211.0030223,22.07197329,7.358138609,30.43879566,14.33776896,21.07843948,6.180250931,14.63760754,112.4656339,18.52356873,0.639456801,1.227169199,57.460257,68.35808161,7.907618186,19.37145669,2.604022355,78.83014876,573.5756063,38.59021706,10.34913844,682.7733832,3003.339058,120.9859393,8.509383854,238.0733079,2500.880796,153.0475808,899.8244318,1.009880138,1.27871566,21.78853084,1.71886825,262.1501476,3.326455238,103.4289538,1.652006126,7.661794888,5.376914963,50.92794147,2021,20.9,Africa,43.64,109262178,11731.69056,kcal/cap/d,3129,6255,1915,79,56,87,14,50,122,93,206,223,273,8,3,1,0
52,Eritrea,SSA,ERI,57.34239978,69.32690267,51.49359271,28.28716444,28.25209881,10.06254537,348.5925978,36.79861789,5.323168567,23.82586222,52.65248002,8.659124925,1.158431272,9.460496574,257.1055373,12.87876535,0.30062784,1.006907532,61.40184256,60.6311519,9.305299012,11.41240539,2.60030418,93.11589579,697.9687585,28.60226118,10.0765665,457.8207432,1945.90943,99.93029921,7.577563593,292.1068156,2290.954054,94.65768993,2140.502637,1.061745797,1.20379616,12.70247295,1.39791143,257.8718386,2.260155978,95.37242066,0.30458172,9.674759863,7.045616259,51.14828064,2021,6.5,Africa,4.54,3620312,1728.742667,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,Spain,HIC,ESP,64.32952368,103.3841763,75.50878415,11.61014844,21.03101616,8.350167678,114.7120736,22.01501529,32.22174116,55.10549145,65.99135891,18.30098981,43.11548351,48.55338426,115.8855567,19.90543213,1.238786657,0.652972716,46.39817367,82.39039428,12.7461076,11.38731522,2.762935476,1079.353077,1994.408233,16.67906208,7.312146793,816.4459414,2644.073678,191.9519483,16.07353019,260.3178582,2996.564685,93.62860256,766.0634133,1.226635754,1.664849571,17.81157689,1.550808866,257.8205288,4.55972384,76.70606642,3.471532224,7.737770186,8.816781243,228.7161561,2021,10.3,Europe,15.95,47486935,38353.60164,kcal/cap/d,3390,6617,768,107,131,306,52,78,414,78,145,823,322,2,164,NULL,0
54,Estonia,FSU,EST,105.2058697,293.3242626,127.7625053,3.330781784,5.980641563,8.09568769,145.6662338,107.3826366,88.02808509,75.47462217,30.17586272,35.68337285,94.39102623,145.0382432,53.20726445,126.0859607,2.487230702,0.566452487,47.9853074,76.02889315,13.70603823,12.96973242,2.537225958,278.1930175,538.3557718,17.25689029,1.839493426,754.2686215,2344.075436,0.498240618,10.39104848,318.9884133,3570.671536,0.501267326,1573.300047,1.260519622,1.251853062,15.76659285,1.632703969,215.3326639,7.082802454,98.04966193,4.958960869,8.722934982,14.58371687,395.5197131,2021,6.5,Europe,22.03,1328701,38048.26372,kcal/cap/d,3289,6226,511,103,88,629,46,19,329,58,108,587,432,12,352,0,14
55,Ethiopia,SSA,ETH,38.6011194,88.84519322,65.27598098,23.98220363,34.4709274,1.711494981,324.9953314,177.0689713,24.58593797,10.47807957,4.896086861,6.548928809,2.605862587,7.249077104,194.7709974,3.875807998,0.266637201,0.560754102,65.68079017,62.85640774,6.653512711,19.61058638,2.462518282,0.812744677,422.7782798,16.04846533,3.659536749,548.8905953,2598.694442,64.85188917,45.39252688,339.7790028,2455.647194,82.57690335,640.3182181,0.916201111,0.865006525,8.009788343,1.416678885,225.0943258,1.987896716,81.96079431,2.855696011,5.860617746,11.55877348,44.36939951,2021,5,Africa,2.64,120283026,2361.069604,kcal/cap/d,2470,4923,1670,74,232,63,1,1,40,11,20,221,80,39,18,0,1
56,Finland,HIC,FIN,150.2402926,124.9812131,53.45503849,7.240259431,6.126656638,2.997867615,91.93898176,57.23995244,57.99748473,60.85487738,38.53666966,19.99364959,31.98305897,61.81767527,57.4482069,41.92083645,1.837533607,0.481148433,44.04160547,84.64368581,13.92840442,11.49419703,2.497370891,389.3887842,1849.488146,20.73026798,6.702517858,1069.233406,2912.668038,277.755917,8.952255073,347.3220467,3598.23754,92.22300747,821.1540205,1.213890717,1.932596495,30.55216801,1.862967629,216.5212957,5.523851739,83.03331439,9.10471731,8.175543017,10.36823869,338.1558259,2021,6.1,Europe,21.24,5535992,49452.16672,kcal/cap/d,3322,6460,774,114,73,557,39,57,387,61,96,404,521,4,184,7,44
57,Fiji,Asia,FJI,109.3447165,210.3744788,20.6811487,25.41045683,29.04697298,4.401136439,349.4577685,49.3648723,12.94635409,21.59124811,37.34274583,46.50982344,1.658126844,9.818815177,146.2510581,12.08798481,0.589582082,0.668395673,58.189776,58.78074748,18.10100384,11.40116643,2.533064999,310.0138585,780.8025861,11.13340203,16.57855083,508.3277436,2579.097559,109.5605727,11.78039567,220.6673364,2402.669619,108.4685407,781.2047423,1.110367945,1.136076895,14.34316286,1.273447016,209.6163994,3.408344137,71.20406678,4.259791812,17.11980669,6.36254239,48.29328278,2021,17.7,Oceania,33.2,924610,9980.110866,kcal/cap/d,2878,5574,870,391,155,75,21,53,203,71,48,450,323,16,183,0,19
58,France,HIC,FRA,150.8504403,155.4261648,33.9889398,1.036936689,13.35715923,2.446798649,135.5673001,33.43872828,31.11712106,48.09112351,30.198048,11.233531,37.70299481,70.7138715,105.316546,17.18296648,1.662075608,0.681092767,43.20193435,90.70612552,16.75787383,13.53300829,2.675351152,719.0371438,1366.72563,17.05825053,12.81500349,918.6131301,2890.651016,185.3033944,11.64095911,302.3798244,2965.123333,87.30293433,726.9469799,1.261109264,1.884086877,17.28694826,1.692945187,248.7697861,3.877003947,97.52842617,2.036714804,11.13407254,11.32094,187.972309,2021,5.3,Europe,9.88,64531444,45937.05273,kcal/cap/d,3604,6991,923,114,78,422,49,52,409,75,112,675,454,5,217,0,19
59,Micronesia (country),Asia,FSM,145.3753753,138.34646,0.970929682,25.24331016,27.91509776,2.89662566,476.2255131,34.32186052,30.92886509,34.50513557,59.30287276,32.31128386,2.01131258,7.035684785,147.6608509,9.067883911,0.12195101,0.369588289,58.55145232,61.91788414,14.50289117,9.022041395,2.595814746,812.6685392,1008.97127,8.775113684,17.27214054,528.0856946,2732.399954,94.54917443,11.27902506,235.2501887,2500.343744,122.096784,1736.253051,1.126851119,1.318632055,15.16939845,1.242924403,225.2219645,3.225507845,70.45066516,4.029019409,23.36118593,7.986249655,23.48316401,2021,15.6,Oceania,46.59,0,0,kcal/cap/d,"c(2756, NA)","c(5439, NA)","c(703, NA)","c(325, NA)","c(416, NA)","c(32, NA)","c(22, NA)","c(98, NA)","c(322, NA)","c(23, NA)","c(41, NA)","c(365, NA)","c(285, NA)","c(4, NA)","c(73, NA)","c(0, NA)","c(45, NA)"
60,Gabon,SSA,GAB,69.85451409,122.2074634,57.34330222,50.78076232,2.611387428,20.20970807,162.1286766,50.20012545,7.944674861,32.39628167,31.77839064,11.98552627,0.909524402,7.207010242,194.4627951,22.85575048,0.210017285,0.563152038,57.87443159,51.17807001,11.26143378,13.18460514,2.725060854,325.2839645,874.7060128,46.87844646,2.805450776,772.6536301,2075.016799,95.15086962,10.93330361,250.3660103,2530.321267,94.49187341,1568.167983,1.130110895,1.345136279,7.448961637,1.042986323,227.0101532,2.771977337,66.75264509,2.224392519,12.09974847,8.519135969,62.69524271,2021,5.5,Africa,20.37,2341179,13366.93455,kcal/cap/d,2598,5082,888,655,173,44,3,66,297,25,28,83,203,0,114,8,11
61,United Kingdom,HIC,GBR,91.30693281,117.4299234,129.0358257,16.39160225,40.28110583,5.396147565,110.7273572,46.20934616,33.51497128,41.50763436,28.69992261,18.40135697,38.97467703,52.08212877,161.1332372,36.51830476,2.245942356,0.667606722,56.24996748,67.88177463,12.29243737,14.20710437,2.623930008,217.2589521,1818.791627,11.35171749,11.25903104,809.014876,2526.44232,183.5596838,6.834274971,267.9884981,3086.924296,90.69171958,211.2347744,1.176566108,1.648131593,18.43705373,1.575766462,235.5686372,4.514534177,91.31001623,1.654170089,4.113065403,8.877495435,203.8359459,2021,6.3,Europe,26.6,67281039,45224.76564,kcal/cap/d,3363,6551,924,118,73,352,41,33,382,72,100,567,468,10,174,8,41
62,Georgia,FSU,GEO,71.83418127,87.66372446,111.3501685,26.13094901,34.54054544,6.269973925,396.3779363,43.4975794,66.83383883,15.20650103,56.90537911,21.41657617,68.41361272,57.04914826,72.23620614,36.30045912,2.016546689,0.364261333,51.82518635,98.73826084,9.312607252,16.95230949,2.541029988,368.6414817,615.0927253,19.82422187,8.975059813,595.8094271,2608.101509,90.86685215,18.05289103,323.8184515,2687.965278,25.9815939,663.2939724,1.468196953,1.399981547,16.74573326,1.532117696,218.5639444,3.669171414,42.25919491,3.652107112,11.57694074,13.6594603,94.11334139,2021,5.7,Asia,33.92,3757980,14664.16825,kcal/cap/d,3054,6023,1276,97,57,332,37,20,173,42,80,294,526,3,85,3,31
63,Ghana,SSA,GHA,87.9424544,137.445115,2.217431648,31.65962703,19.45503597,29.2569521,217.5898177,11.00130555,2.625983688,14.58236744,90.35934412,11.77139892,0.592070622,1.732272552,208.478559,11.93288661,0.104963172,0.484382791,68.90236766,65.58808869,7.157120123,7.88125831,2.616784122,158.3515606,435.9610807,27.47261943,7.566615063,356.6796469,2442.526451,88.83713505,12.28701945,337.2251746,3296.734347,85.4805451,2521.912196,1.524366099,1.235561097,19.27834752,2.013675122,353.139641,6.256966065,136.9346836,2.43889877,10.61507997,7.944134551,30.79920303,2021,2.6,Africa,12.6,32833031,5744.504017,kcal/cap/d,3087,6136,875,1411,143,16,4,52,100,24,38,179,173,28,38,0,8
64,Guinea,SSA,GIN,22.01326373,20.2314497,295.0651541,15.24551375,3.243827146,10.63730334,154.0213545,40.05053744,17.76170598,13.55226627,16.51306684,4.042417108,0.792167315,3.927004771,59.42395952,6.3370753,0.395965617,0.523413482,62.89840551,51.70390338,9.461030451,12.01266161,2.579622008,67.86276041,660.7986953,20.25726149,0.36744435,432.1412346,1727.144872,92.48573896,5.156434142,230.2431155,1750.201537,94.97737546,2698.8182,0.816192544,0.997087504,14.89609873,1.355477923,205.1928586,2.142212279,75.9617192,2.394172835,7.382179864,4.394657591,29.34859519,2021,2.1,Africa,9.07,13531906,2480.887182,kcal/cap/d,2904,5798,1304,667,110,37,7,24,87,47,82,336,183,0,9,1,9
65,Gambia,SSA,GMB,30.72451079,48.07399019,4.232874493,13.52909599,7.026478852,11.95617555,162.7194888,62.32303407,35.45578588,6.905065576,38.52267325,7.410786809,0.844916185,1.992410156,156.6256417,14.24251361,0.067173906,0.634254019,61.26383569,27.01023531,9.554127283,9.729715038,2.715596056,325.1338506,937.6676563,19.4466633,6.809531455,191.8483863,1714.294796,85.55419236,6.65704976,369.3586174,1163.772161,103.1722971,2529.491513,0.919302553,1.071941491,9.479697781,1.102977903,156.9939879,2.167348844,16.25444113,2.678865641,9.735276762,8.011937213,15.41626336,2021,1.9,Africa,14.26,2639916,2172.207664,kcal/cap/d,2436,4835,1206,18,181,98,15,54,66,14,6,238,484,3,37,3,15
66,Guinea-Bissau,SSA,GNB,67.64745433,138.1292972,341.8789261,31.62214981,90.91832942,12.63006192,313.1214256,18.28518438,5.078376991,21.453554,17.42892891,5.231301911,1.278393419,7.82486639,199.7871989,15.19611561,0.202709241,0.719503647,60.41686721,31.07059085,11.2119419,9.851961689,2.639081341,16.38665559,791.3346246,11.254105,4.573670472,364.8889573,1981.502546,75.41118938,13.27915621,265.5279232,1791.244115,87.6175248,1982.48567,0.975182631,1.189132152,7.822704013,1.101385347,197.4028032,2.201834299,62.14053361,2.007172122,11.85403539,6.380559375,52.12185833,2021,2.1,Africa,11.02,2060721,1908.24159,kcal/cap/d,2167,4282,1315,188,85,38,6,2,87,15,29,302,37,0,51,1,10
