,Entity,superregion2,iso3,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total carbohydrates,Total protein,Saturated fat,Monounsaturated fatty acids,Total omega-6 fat,Seafood omega-3 fat,Plant omega-3 fat,Dietary fiber,Added sugars,Calcium,Dietary sodium,Iodine,Iron,Magnesium,Potassium,Selenium,Vitamin A w/ supplements,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Zinc,Total Milk,Year,Diabetes prevalence (% of population ages 20 to 79),Continent,ObesityRate,Population (2021),Gross National Income Per Capita (2021),Unit,Supply_ All food groups,Supply_ All food groups (excluding beverages),Supply_ Cereals and their products,"Supply_ Roots, tubers, plantains and their products","Supply_ Pulses, seeds and nuts and their products",Supply_ Milk and milk products,Supply_ Eggs and their products,"Supply_ Fish, shellfish and their products",Supply_ Meat and meat products,Supply_ Vegetables and their products,Supply_ Fruits and their products,Supply_ Fats and oils,Supply_ Sweets and sugars,Supply_ Spices and condiments,Supply_ Beverages,Supply_ Foods for particular nutritional uses,Supply_ Miscellaneous
11,Burundi,SSA,BDI,73.83864418,186.8061262,40.27504051,38.02916098,40.5285555,6.511090439,142.1572065,33.07746433,5.665614031,12.03193305,32.84639344,3.505851801,0.43976325,0.794074295,172.0824091,10.86581299,0.27460843,0.95279954,62.96782117,57.57208876,9.07745547,11.30059292,2.548796964,58.33661796,649.6987792,26.82404621,6.265054345,452.8618003,1934.595137,89.23681379,8.747643925,292.7581049,2338.405884,94.54289652,1893.409225,1.033160686,1.185700042,12.14842048,1.361272467,258.6285264,1.997663877,98.27372769,0.339191546,9.627922545,6.708162563,24.18853007,2021,6.5,Africa,4.74,12551213,731.7867086,kcal/cap/d,1775,3510,305,848,258,11,1,6,19,26,135,61,64,0,40,0,1
12,Belgium,HIC,BEL,103.9274464,113.1524827,137.7731234,20.38106473,4.545485552,3.362921006,56.32278294,66.08904514,28.25169318,57.4788037,19.68060168,9.55460738,64.01954113,21.40340618,193.4650302,64.69983519,2.25258348,0.985461027,50.50989127,86.28304481,15.34755885,13.6457486,2.70001544,228.9216798,1291.738908,17.07626997,19.38486624,798.3308782,2586.254771,182.973635,8.347708606,331.628219,3894.720886,85.83639162,1549.308491,1.418972386,1.973961671,12.78347073,1.52785517,285.2052173,4.550546735,88.74854513,3.923245204,9.347987913,13.20812475,95.24266435,2021,3.6,Europe,19.75,11611419,52293.39977,kcal/cap/d,3892,7582,748,173,103,459,48,39,309,117,125,1064,491,10,202,4,NULL
13,Benin,SSA,BEN,74.77897098,99.07479937,11.34810094,22.09762771,24.73688197,12.97544388,189.3719711,33.57259023,25.92744936,17.47016657,22.20568189,9.305542939,1.889985887,7.315793076,171.011885,12.39593306,0.201935243,0.540689071,62.08409144,49.15869395,7.896508459,13.68858358,2.618473668,100.6590923,782.6238198,14.04014512,25.3630576,486.852279,2133.073556,79.91020956,10.90944886,311.8938448,4080.341011,99.63629901,1773.853613,1.312795901,1.167001619,13.71023552,1.51832235,302.4967149,2.19157175,82.89687915,1.889727329,8.844833173,8.245876932,24.47000063,2021,1.1,Africa,10.77,12996895,3408.965923,kcal/cap/d,2768,5460,1026,727,233,18,2,31,68,47,39,311,93,93,77,0,4
14,Burkina Faso,SSA,BFA,34.77421523,27.04336905,20.11924628,5.840818196,9.133057646,21.76841647,158.210446,59.36032884,8.111696786,2.839628106,28.76947653,2.808317531,0.520586489,3.060837083,91.27754066,9.13089489,0.307905808,0.720521431,68.61549418,76.50505676,7.819332899,13.72883371,2.669896785,159.0450415,1038.340364,14.85417793,6.809793522,444.5027647,1811.886792,101.6953092,17.72238404,381.2354213,2013.680476,95.86091596,617.4926749,0.813906767,0.944875863,11.81112333,0.971201145,229.2984873,1.318147641,31.29655836,2.641306078,8.439761071,10.13085346,26.99525709,2021,2.1,Africa,6.35,22100683,2117.915916,kcal/cap/d,2664,5259,1516,26,492,42,4,18,187,39,64,124,51,28,68,1,3
15,Bangladesh,SAARC,BGD,54.74778811,224.99979,98.78601414,10.36919386,28.90494661,0.665211322,593.2294134,35.28574307,0.39718467,7.987113196,41.63835552,10.9709558,0.519421558,2.81306996,9.782099997,3.446337119,0.775203105,0.575300226,74.02722799,45.86507884,3.051596054,3.661457835,2.414716009,99.91630946,408.5440171,23.93573989,0.433690568,342.9844085,3977.177677,111.7944421,10.30421389,336.7534516,1320.859734,220.32072,307.7867487,0.882586297,0.48094425,15.0221515,1.140591703,115.9810183,1.518759298,43.29219798,2.374028186,3.626449006,7.532749245,35.9322494,2021,14.2,Asia,4.96,169356251,5472.104781,kcal/cap/d,2616,5229,1889,93,97,41,14,54,20,43,48,191,82,39,2,0,0
16,Bulgaria,FSU,BGR,95.89098982,399.2241632,89.35437306,4.067007013,18.09358489,11.49960418,61.14641079,25.78895482,33.6121428,70.44029229,22.72726077,14.13593484,45.21041502,502.9807067,48.69774222,41.83860823,1.729373624,0.725988545,52.03246327,61.87420945,12.9409505,10.03032089,3.073944275,122.7740261,912.4392442,19.84899085,1.681894811,445.4563677,2663.329081,24.18031044,8.255672366,195.5942035,2208.820875,1.789306547,801.7347628,0.961510455,0.985833941,37.67080624,2.06262587,249.1492681,2.687409592,93.8381384,5.400272671,12.71197402,8.00073395,131.3607837,2021,7.4,Europe,20.27,6885868,23078.95595,kcal/cap/d,2951,5734,965,51,93,310,16,14,283,54,103,606,276,3,167,2,7
17,Bahrain,MENA,BHR,119.8135589,185.1698654,63.4737496,31.58161276,38.73301398,21.46190724,451.5770891,15.95311831,25.72371873,39.85709954,35.563133,31.2104704,18.54642995,65.85162784,226.5203686,25.3723854,0.716113976,1.008276428,53.85971449,82.38565129,10.71593339,14.26217822,2.724048042,53.36765729,1112.459962,9.379147846,10.56520863,637.8554902,5031.176552,152.5312074,12.36798028,349.5002411,3050.072947,167.0132197,1150.042269,1.337152942,1.686193287,23.55478432,1.716605913,365.5133548,4.052795114,138.9751995,0.150697245,14.31380775,9.392774817,127.639693,2021,11.3,Asia,35.72,1463265,39497.24788,kcal/cap/d,3487,6895,1082,79,153,175,38,34,383,84,144,641,545,36,79,6,8
18,Bahamas,LAC,BHS,83.68496714,105.5524857,11.72373427,53.98602857,17.91438942,9.944569549,211.4143602,36.72358469,20.26615218,49.40377352,21.23733062,52.91946543,11.93388854,23.27676171,210.0037136,23.06259023,0.20485055,0.510727927,54.91326312,69.38832541,11.04612355,7.418310989,2.632717006,242.3170911,854.9151321,21.57411177,4.888491491,513.7546148,2417.695741,157.1846088,11.50631456,155.5283612,1668.052149,112.48063,1073.471441,1.124147487,1.265774779,14.59607386,1.146083843,286.6535029,3.572110545,59.42590466,3.234069055,11.52118835,4.907203002,150.3376145,2021,8.8,North America,46.52,407906,30486.18429,kcal/cap/d,2573,4972,496,35,55,157,29,50,494,75,147,336,389,19,174,18,98
19,Bosnia and Herzegovina,FSU,BIH,499.8946403,443.6015005,173.2764076,39.44528095,13.98823789,8.768591279,148.349133,45.66116944,27.75818366,155.1837891,10.40966353,23.40071468,32.23006763,76.01526587,74.02794512,23.80845199,1.610624407,0.70273256,51.0710699,81.9240059,9.859122422,19.07206619,2.514461022,144.2107576,571.7326129,18.55081686,3.746675971,721.3448441,2812.88157,88.19127559,7.351318028,253.5511004,3276.4755,24.94168016,1037.944879,1.083014029,1.403409008,21.73220327,1.685240794,321.5012603,3.732624162,87.0593297,4.087180507,8.318911849,6.938756079,274.1747123,2021,9.1,Europe,20.73,3270943,15241.91465,kcal/cap/d,3369,6493,1221,152,119,297,18,15,235,179,163,285,341,68,246,3,28
20,Belarus,FSU,BLR,246.3387114,87.03303724,168.347683,44.12028934,75.77859774,10.91455447,192.4340514,35.74007629,39.47283412,73.52871252,21.5129936,35.92938099,20.56531724,71.47616694,47.77740428,31.55351642,1.242099624,0.854671333,47.1860694,71.7648486,13.91441251,14.26967121,2.610166477,761.7383707,782.644199,31.69175685,5.141993422,780.0874017,3040.606361,117.7534734,16.34615199,298.3142421,4105.474543,23.61249838,925.8337845,1.283234297,1.625914509,26.91403325,1.982634533,277.8243779,4.074690989,116.3308248,4.178021394,8.818565461,11.46067787,151.016954,2021,5.6,Europe,21.33,9578167,18848.96704,kcal/cap/d,3320,6412,576,274,52,313,45,20,431,110,90,557,601,2,229,0,20
